NAME,GEOID,minx,miny,maxx,maxy
Fisher,1726194,-88.365781,40.305228,-88.337441,40.327062
Fithian,1726233,-87.883504,40.110061,-87.868451,40.12086
Flanagan,1726311,-88.866051,40.869635,-88.850219,40.883803
Flat Rock,1726350,-87.684546,38.896012,-87.665505,38.911595
Flora,1726454,-88.508657,38.655188,-88.440763,38.685662
Floraville,1726467,-90.058897,38.374068,-90.052102,38.379898
Florence,1726480,-90.616308,39.620007,-90.604991,39.634783
Flossmoor,1726571,-87.713469,41.527726,-87.655026,41.551737
Foosland,1726662,-88.432751,40.359276,-88.426387,40.363064
Ford Heights,1726710,-87.599616,41.498972,-87.553328,41.524106
Forest City,1726753,-89.84197,40.364179,-89.821632,40.377564
Forest Lake,1726896,-88.058294,42.203639,-88.048288,42.217341
Forest Park,1726935,-87.833696,41.850022,-87.803944,41.886983
Forest View,1726987,-87.802112,41.798559,-87.752901,41.814932
Forrest,1727026,-88.41922,40.731101,-88.400267,40.761749
Forreston,1727065,-89.589176,42.116754,-89.568399,42.142163
Forsyth,1727091,-88.993279,39.907431,-88.936931,39.94244
Fowler,1727377,-91.262988,40.00692,-91.252312,40.01063
Fox Lake,1727442,-88.218882,42.357782,-88.146996,42.495181
Fox Lake Hills,1727455,-88.140253,42.40087,-88.106826,42.426725
Fox River Grove,1727533,-88.238212,42.184359,-88.189512,42.205102
Frankfort,1727624,-87.907175,41.441239,-87.762339,41.528953
Frankfort Square,1727644,-87.820864,41.506425,-87.790319,41.536735
Franklin,1727663,-90.058974,39.610245,-90.035196,39.632362
Franklin Grove,1727689,-89.308245,41.833181,-89.2936,41.848301
Franklin Park,1727702,-87.920328,41.91158,-87.849588,41.958086
Franklinville,1727728,-88.520916,42.273107,-88.510214,42.27904
Freeburg,1727806,-89.964833,38.401662,-89.867161,38.484102
Freeman Spur,1727858,-89.007133,37.854427,-88.992428,37.86582
Freeport,1727884,-89.686565,42.24931,-89.577582,42.321393
Fulton,1728144,-90.174876,41.839827,-90.139968,41.882951
Fults,1728170,-90.217259,38.161327,-90.208691,38.167213
Gages Lake,1728248,-88.004666,42.339256,-87.96356,42.367716
Galatia,1728261,-88.627684,37.831081,-88.601794,37.851786
Galena,1728300,-90.458066,42.395316,-90.400037,42.446356
Galesburg,1728326,-90.441216,40.901428,-90.301815,40.992441
Galt,1728404,-89.765065,41.782848,-89.742309,41.793273
Galva,1728430,-90.061104,41.156014,-90.013182,41.18611
Garden Prairie,1728612,-88.731282,42.249363,-88.70541,42.261085
Gardner,1728638,-88.34028,41.175071,-88.283365,41.215013
Garrett,1728742,-88.429348,39.791747,-88.419981,39.802633
Gays,1728807,-88.503399,39.454022,-88.488212,39.462074
Geneseo,1728846,-90.177463,41.425603,-90.12367,41.481393
Geneva,1728872,-88.379624,41.863619,-88.262423,41.89919
Genoa,1728898,-88.720366,42.075815,-88.675888,42.109995
Georgetown,1728963,-87.646581,39.965225,-87.622603,39.987712
German Valley,1729093,-89.498966,42.210172,-89.472324,42.218861
Germantown,1729041,-89.559377,38.544612,-89.53035,38.567284
Germantown Hills,1729080,-89.486612,40.757546,-89.440357,40.783061
Gibson City,1729125,-88.403744,40.449551,-88.365762,40.48242
Gifford,1729145,-88.02626,40.298136,-88.01653,40.317323
Gilberts,1729171,-88.3935,42.07241,-88.349394,42.15392
